ID,ImageType,BeforeAfterDiagram,Prompt_JP,Prompt_EN
31_beginner_digital-certificate-01-Before,traditionalMethodDiagram,【従来の独学法】毎日コツコツと小さな努力を積み重ねる。→ しかし、誰からも承認されない。→ 努力が報われていない感覚に陥る。→ 次第に虚しさが募り、モチベーションが低下していく。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が長い道で小さな一歩を踏み出しているが、誰もそれを認めてくれる人がいないため落胆している。場面は空虚で孤独に感じられる。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person takes a small step forward on a long path, but looks dejected as no one is there to acknowledge it. The scene feels empty and lonely. Simple line art, sketch-like quality."
31_beginner_digital-certificate-02-After,aiMethodDiagram,【超AI独学法】「参考書の第1章を完了！」とAIに報告。→ AIが「素晴らしい快挙です！ここにあなたの偉大な一歩を称え、デジタル表彰状を授与します！」と、ユーモアと情熱を込めて祝福してくれる。→ 達成感が最大化され、学習が楽しいイベントに変わる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットが熱心なチアリーダーとして、人物に星やトロフィーアイコン付きの大きく輝くデジタル証明書を提示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot, acting as an enthusiastic cheerleader, presents a person with a large, glowing digital certificate with a star or trophy icon. Simple line art, sketch-like quality."
30_intermediate_motivation-coach-01-Before,traditionalMethodDiagram,【従来の独学法】一人で黙々と学習を続ける。→ 誰からもフィードバックがない。→ 自分の成長を実感できない。→ 次第に孤独感と停滞感に苛まれる。→ モチベーションが低下し、学習をやめてしまう。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が一人で勉強しており、モチベーションゲージ（バッテリーアイコンとして表示）がほぼ空になっている。人物は疲れて諦めかけているように見える。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is studying alone, and their motivation gauge (shown as a battery icon) is shown to be almost empty. The person looks tired and ready to give up. Simple line art, sketch-like quality."
30_intermediate_motivation-coach-02-After,aiMethodDiagram,【超AI独学法】AIを「ポジティブ心理学に基づき、人のやる気を引き出すプロのコーチ」と定義。→ 日々の学習記録を報告する。→ AIが「昨日より3ページも多く進みましたね！素晴らしい継続力です！」と、具体的な行動を承認し、褒めてくれる。→ ポジティブなフィードバックループが形成され、学習が楽しくなる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が小さな進歩を友好的なAIコーチに報告している。コーチがサムズアップと励ましのジェスチャーをしている。この行動が人物のモチベーションバッテリーゲージを再充填している様子。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is reporting their small progress to a friendly AI coach. The coach gives them a thumbs-up and encouraging gesture. This action is shown to be refilling the person's motivation battery gauge. Simple line art, sketch-like quality."
29_intermediate_business-english-01-Before,traditionalMethodDiagram,【従来の独学法】日本語でメールを作成 → 翻訳ツールで英訳する → 出力された英文の不自然さに不安を感じる → 何度も読み返し、時間をかけて修正する → しかし、本当に丁寧でプロフェッショナルな表現になっているか確信が持てないまま、震える指で送信ボタンを押す。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が緊張してメールの下書きを見ている。下書きは不自然で不器用に見え、取り消し線のあるセクションと疑問符がある。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is nervously looking at an email draft. The draft appears awkward and unnatural, with crossed-out sections and question marks. Simple line art, sketch-like quality."
29_intermediate_business-english-02-After,aiMethodDiagram,超AI独学法】AIを「ハーバード卒の国際ビジネス経験豊かな上司」と定義 → 日本語のメール文と共に、ビジネスの背景や相手との関係性を伝える → AIが文化的背景まで考慮した、洗練された自然な英文を生成 → さらに、直接的すぎる表現の代替案なども複数提示してくれる → 自信を持って送信できる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が下書きを卒業帽をかぶった賢そうなAIロボットに見せている。ロボットがそれを洗練されたプロフェッショナルな文書に書き直し、文化的文脈アイコン付きの有益なメモも提供している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person shows a draft to a wise-looking AI robot with a graduation cap. The robot rewrites it into a polished, professional document, while also providing a helpful note with cultural context icons. Simple line art, sketch-like quality."
28_beginner_ai-english-teacher-01-Before,traditionalMethodDiagram,【従来の独学法】英会話スクールを検討するが、高額な費用に躊躇する。→ 独学で単語や文法を勉強するが、話す機会がない。→ たまにオンラン英会話を試すが、間違いを恐れて当たり障りのない会話しかできず、実践力が身につかない。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。オンライン英会話の画面に向かう人物。恐怖と恥ずかしさで固まっており、吹き出しには「Nice weather today」「I'm fine」などの当たり障りない定型文のみ。相手の外国人講師は退屈そうな表情。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person facing an online English conversation screen. Frozen with fear and shyness, their speech bubble contains only safe, generic phrases like 'Nice weather today' and 'I'm fine'. The foreign teacher on screen looks bored. Simple line art, sketch-like quality."
28_beginner_ai-english-teacher-02-After,aiMethodDiagram,【超AI独学法】AIに「あなたはハーバードビジネススクールの交渉術の教授です。私と英語で価格交渉のロールプレイをしてください」と依頼。→ 24時間いつでも、何度でも練習可能。→ AI相手なので、どんなに間違えても恥ずかしくない。→ AIから的確なフィードバックを即座に受け、表現を改善していく。→ 自信を持って、実際のビジネスシーンに臨めるようになる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIロボット教授とビジネス交渉のロールプレイを自信を持って練習している。ロボットが即座に、批判的でない方法で有益なフィードバックを提供している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is confidently practicing a business negotiation role-play with a friendly AI robot professor. The robot provides instant, helpful feedback in a non-judgmental way. Simple line art, sketch-like quality."
27_intermediate_feynman-technique-01-Before,traditionalMethodDiagram,【従来の独学法】本を読む。→ AIが作った要約を読む。→ 「なるほど、分かった」と満足する（分かったつもり）。→ 上司に「この前の研修内容、要点だけ教えて」と聞かれる。→ 言葉に詰まる。→ 実は全く理解していなかったことに気づき、愕然とする。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が本を読んで思考バブルにチェックマークがあり、理解したと思っている。しかし同僚が説明を求めると、空の吹き出しで言葉に詰まっている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person reads a book and has a thought bubble with a checkmark, thinking they understand. But when a colleague asks them to explain, they are at a loss for words, with an empty speech bubble. Simple line art, sketch-like quality."
27_intermediate_feynman-technique-02-After,aiMethodDiagram,【超AI独学法】学んだ内容の要約をインプット。→ AIに「あなたは私の思考と口調を真似る分身AIです。この内容を、〇〇部長に報告する体でプレゼン原稿を作成して」と依頼。→ AIが「自分の言葉」でアウトプットを再構築。→ その原稿を推敲する過程で、理解の曖昧な部分が明確になり、知識が脳に深く刻み込まれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が自分自身のロボット版（クローン）にコンセプトを教えている。人物がクローンの説明を修正し、洗練させている様子が示され、それが自身の理解を固めている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is teaching a concept to a robot version of themselves (a clone). The person is shown correcting and refining the clone's explanation, which solidifies their own understanding. Simple line art, sketch-like quality."
26_beginner_daily-reflection-01-Before,traditionalMethodDiagram,【従来の独学法】教材を読んで学習する。→ インプットしただけで満足してしまう。→ その日のうちに内容を忘れる。→ 知識が右から左へと流れていくだけで何も身につかない。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が本を読んでおり、情報が片耳から入ってそのまま反対側から出ていく矢印として描かれ、知識が何も残らない様子。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is reading a book, and the information is depicted as arrows flowing in one ear and straight out the other, leaving no knowledge behind. Simple line art, sketch-like quality."
26_beginner_daily-reflection-02-After,aiMethodDiagram,【超AI独学法】一日の終わりにAIとの対話タイムを設ける。→ 「今日学んだのは〇〇で、特に重要だと思ったのは…」と話しかける。→ AIが「それは、つまりどういうことですか？」と鋭い質問を投げかける。→ 質問に答えるために頭を使い、考えながら話すことで、学びが言語化され、脳に深く刻まれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIインタビュアーと対話している。AIが吹き出しで思慮深い疑問符を尋ねている。この質問が人物の頭上に電球を出現させ、より深い理解を示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is having a dialogue with a friendly AI interviewer. The AI asks a thoughtful question mark in a speech bubble. This question causes a lightbulb to appear over the person's head, signifying deeper understanding. Simple line art, sketch-like quality."
25_intermediate_exam-analysis-01-Before,traditionalMethodDiagram,【従来の独学法】分厚い参考書を購入 → 完璧主義で全範囲を網羅しようと勉強する → 膨大な時間を投入する → 模擬試験で合格点にわずかに届かない → 「努力が足りない」とさらに勉強時間を増やす → 労力は増えるが、結果は変わらない。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が疲れ果てた様子で、最初のページから最後まで巨大で厚い教科書を読もうとしており、非効率な戦略を強調している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking exhausted, trying to read a massive, thick textbook from the first page to the last, highlighting the inefficient strategy. Simple line art, sketch-like quality."
25_intermediate_exam-analysis-02-After,aiMethodDiagram,【超AI独学法】過去問10年分のPDFをAIにアップロード → 「合格への最短ルートを分析・提示して」と依頼 → AIが出題頻度・配点・頻出キーワードをデータ分析 → 「学習すべきこと」と「捨ててもよいこと」が明確になる → 重要分野に学習リソースを集中投下 → 最小の努力で合格を勝ち取る。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIアナリストが人物に試験内容の簡単な円グラフを見せている。チャートはトピックを大きな重要なスライスと小さな重要でないスライスに明確に分割し、焦点を絞った戦略を可能にしている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI analyst shows a person a simple pie chart of the exam content. The chart clearly divides topics into a large important slice and a small less important slice, enabling a focused strategy. Simple line art, sketch-like quality."
24_beginner_personalized-quiz-01-Before,traditionalMethodDiagram,【従来の独学法】eラーニング教材で学習を開始 → 簡単すぎる基本問題が続き、退屈に感じる → 突然、応用問題が登場し、全く歯立たずに挫折する → レベル設定が自分に合っていない → 学習意欲が低下し、非効率な学習に陥る。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が学習のシーソーに乗っている。片側は地面に着いており（簡単すぎる）、もう片側は空中高くにあり（難しすぎる）、一般的なクイズのミスマッチを示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown on a seesaw of learning. One side is on the ground (too easy), the other side is high in the air (too difficult), showing the mismatch of generic quizzes. Simple line art, sketch-like quality."
24_beginner_personalized-quiz-02-After,aiMethodDiagram,【超AI独学法】AIに「私の現在の知識レベルは10段階で4です」と自己申告 → 「今の私が少し背伸びすれば解ける、絶妙な難易度の問題を10問作成してください」と依頼 → AIがレベルに完全に最適化された問題集を生成 → 心地よい知的挑戦を繰り返すことで、効率的にレベルアップしていく。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAI教師が人物のために難易度ダイヤルを調整している。ダイヤルは最適ゾーンに完璧に設定され、人物を夢中でやる気にさせている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI teacher is shown adjusting a difficulty dial for a person. The dial is perfectly set to an optimal zone, keeping the person engaged and motivated. Simple line art, sketch-like quality."
23_kyoko_intermediate_notebooklm-self-learning-01-Before,traditionalMethodDiagram,【従来の独学法】大量の資料を前に途方にくれる。最初から順番に読み進めるが、専門用語や背景知識が分からず挫折。付箋を貼ったりマーカーを引いたりするが、情報が整理できず、結局身につかない。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が圧倒されて見え、文書やマニュアルの巨大で乱雑な山の前に立っている。大きな疑問符が彼らの混乱を示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is looking overwhelmed, standing before a huge, messy pile of documents and manuals. A large question mark shows their confusion. Simple line art, sketch-like quality."
23_kyoko_intermediate_notebooklm-self-learning-02-After,aiMethodDiagram,【超AI独学法】NotebookLMに研修資料やマニュアルのPDFを全てアプロードする。「この資料全体で最も重要な専門用語を5つ、初心者にも分かるように説明して」「〇〇機能の具体的な設定手順を教えて」と、資料に基づいた質問を投げかける。→ NotebookLMが資料の内容だけを基に、正確な回答を生成する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がAI家庭教師と友好的なチャットをしている。AIが明確な説明で質問に答えており、引用矢印がソース文書の関連ページを直接指している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is having a friendly chat with an AI tutor. The AI is answering a question with a clear explanation, and a citation arrow points directly to the relevant page in the source document. Simple line art, sketch-like quality."
22_tatsuya_beginner_academic-paper-summary-01-Before,traditionalMethodDiagram,【従来の独学法】論文を最初から最後まで時間をかけて読む。専門用語の意味を一つ一つ調べながら読み進めるため、1本の論文を読むのに数時間かかることも。背景や結論がどこに書かれているか探すのも一苦労。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が技術的な記号で満たされた密度の高い複雑な学術論文を読むのに苦労している。眠そうでイライラしているように見える。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is struggling to read a dense, complex academic paper filled with technical symbols. They look sleepy and frustrated. Simple line art, sketch-like quality."
22_tatsuya_beginner_academic-paper-summary-02-After,aiMethodDiagram,"【超AI独学法】PDFを読み込めるAIツール（ChatGPT-4o, Claude 3, NotebookLMなど）に論文ファイルをアップロード。「この論文の要点を『背景』『目的』『手法』『結果』『結論』の5つの項目で整理して」「この研究の新規性（オリジナリティ）は何ですか？」と指示。→ AIが論文の構造を理解し、要点を整理して提示する。",ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が論文のPDFアイコンを友好的なAIロボットにアップロードしている。ロボットが即座に処理し、明確なセクションと箇条書きを持つきれいに構造化された要約を返している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person uploads a PDF icon of a paper to a friendly AI robot. The robot instantly processes it and hands back a neatly structured summary with clear sections and bullet points. Simple line art, sketch-like quality."
21_beginner_youtube-to-text-01-Before,traditionalMethodDiagram,【従来の独学法】教育系YouTube動画を視聴 → 「勉強になった！」と満足しブックマーク → 後日、内容を再確認しようとするが、1時間の動画から目的の箇所を探すのが面倒 → 結局見返さず、知識が揮発する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がビデオを見ているが、知識は見た後に空中に蒸発する揮発性の霧として示されている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is watching a video, but the knowledge is shown as volatile wisps that evaporate into the air after being seen. Simple line art, sketch-like quality."
21_beginner_youtube-to-text-02-After,aiMethodDiagram,【超AI独学法】動画のURLをAIに渡し、「タイムスタンプ付きで構造化された講義録を作成て」と依頼 → AIが動画を自動解析し、要約・キーポイント・詳細な文字起こしを含むテキスト教材を生成 → 後からキーワード検索で瞬時に目的の情報にアクセスし、復習・活用する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がYouTubeビデオのURLを友好的なAIロボットに渡している。ロボットがビデオの流れを、検索可能なテキストとハイライトされた重要なポイントを持つ固体の文書に変換している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives a YouTube video URL to a friendly AI robot. The robot transforms the flow of video into a solid document with searchable text and key points highlighted. Simple line art, sketch-like quality."
20_beginner_listen-to-books-01-Before,traditionalMethodDiagram,【従来の独学法】専門書を購入する。→ 難解な専門用語の連続に、数ページで眠気に襲われる。→ 挫折し、本棚に飾られる。→ 自己投資が「含み損」に変わる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が大きく難しい本の上で居眠りしている様子。隣には読まれていない本の山が増えている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown falling asleep on a large, difficult book. Next to them is a growing pile of unread books. Simple line art, sketch-like quality."
20_beginner_listen-to-books-02-After,aiMethodDiagram,【超AI独学法】専門書のPDFをAIに読み込ませる。→ 「この本の内容を、中学生にも分かる言葉で、ストーリー仕立てで要約して」と依頼。→ AIが編集者兼ナレーターとなり、あなた専用のオーディオブックの「原稿」を作成。→ 音声読み上げツールで音声化し、通勤中に聴くだけで著者の思考が脳にインストールされる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がスマートフォンでオーディオブックを聞きながらジョギングしている様子。友好的なAIエディターが本のPDFを音声波ファイルに変換している様子が描かれている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown jogging while listening to an audiobook on their phone. A friendly AI editor is depicted transforming a book PDF into an audio wave file. Simple line art, sketch-like quality."
19_beginner_time-reminder-01-Before,traditionalMethodDiagram,【従来の独学法】スマートフォンのタイマーをセットする。→ しかし、アラームが鳴ると集中が途切れてしまい、不快に感じる。→ 次第にタイマーを使わなくなり、結局時間管理が疎かになる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が深い集中状態（ゾーン）にいるが、スマートフォンからの大きくけたたましいアラームに突然驚かされる。衝撃は動きの線で示されている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is deep in focus (in the zone), but is suddenly startled by a loud, jarring alarm from their smartphone. The shock is shown with motion lines. Simple line art, sketch-like quality."
19_beginner_time-reminder-02-After,aiMethodDiagram,【超AI独学法】AIに「今から資料作成に集中します。45分後に、次の会議の準備を始めるよう、優しい口調でリマインドしてくだい」とお願いする。→ 45分後、AIが「〇〇さん、素晴らしい集中力ですね。さて、次のステージに進む時間です。15分後の会議の準備を始めましょうか」と、コーチのように声をかけてくれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIアシスタントが集中している人物の肩を優しくタップしている。AIは柔らかく礼儀正しいジェスチャーをしており、次のタスクへの穏やかな移行を示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI assistant gently taps a focused person on the shoulder. The AI has a soft, polite gesture, showing a gentle transition to the next task. Simple line art, sketch-like quality."
18_intermediate_emotion-wave-analysis-01-Before,traditionalMethodDiagram,【従来の独学法】「よし、朝から勉強するぞ！」と意気込む → なぜか全く集中できない → 「気合が足りないんだ」と自分を責める → 無理に机に向かい続けるが、効率は最悪 → 自己嫌悪に陥り、さらにパフォーマンスが低下する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が混沌とした予測不能な波のパターンに投げ回されている。コントロールできず、効果的に作業できないように見える。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is being tossed around on a chaotic, unpredictable wave pattern. They look out of control and unable to work effectively. Simple line art, sketch-like quality."
18_intermediate_emotion-wave-analysis-02-After,aiMethodDiagram,【超AI独学】毎日、AIに簡単な音声日記でコンディションを報告 → 集中力、気分、その日の活動内容を記録 → 1ヶ月後、AIにデータを分析させる → 「あなたのゴールデンタイムは水曜と金曜の午前中で、特に軽い運動の後は集中力が1.5倍になる」という驚きのパターンを発見 → 最も重要なタスクをゴールデンタイムに配置し、生産性が劇的に向上する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が毎日の日記をAIパフォーマンスコーチに渡している。AIがデータを分析し、ハイライトされた最適な時間帯のあるカレンダーを提示。人物は今、波を巧みにサーフィンしている様子。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives their daily journal to an AI performance coach. The AI analyzes the data and presents a calendar with a highlighted optimal time period. The person is now shown skillfully surfing the wave. Simple line art, sketch-like quality."
17_intermediate_learning-style-01-Before,traditionalMethodDiagram,【従来の独学法】話題の学習法（例：ポモドーロテクニック）を試す → なぜか集中できない → 別の方法（例：朝活）を試す → やはり続かない → 手当たり次第の繰り返しで疲弊 → 「自分は意志が弱い」と自己嫌悪に陥る。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が四角い釘（個人の学習スタイル）を丸い穴（一般的な学習方法）に無理やり入れようとしている。イライラしているように見える。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is trying to force a square peg (their personal learning style) into a round hole (a generic learning method). They look frustrated. Simple line art, sketch-like quality."
17_intermediate_learning-style-02-After,aiMethodDiagram,【超AI独学法】AIを「教育心理学者」と定義 → 自身の性格（MBTIなど）や過去の成功・失敗体験をインプット → AIが「あなたは視覚優位で、体系的な知識構造を好む傾向がある」と分析 → 「動画よりも図解の多い書籍で学び、マインドマップで知識を整理するのが最適」と具体的な戦略を提案 → 自分に合った「型」で学習し、努力が結果に直結する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。AI心理学者が人物に、脳の鍵穴に完璧に合うパーソナライズされた鍵（最適な学習スタイル）を渡している様子。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An AI psychologist is shown giving a person a personalized key (their optimal learning style) that perfectly fits a keyhole in their brain. Simple line art, sketch-like quality."
16_advanced_stumbling-prediction-01-Before,traditionalMethodDiagram,【従来の独学法】順調に学習を進める → 突如、難解な概念に遭遇 → 理解できず、思考が停止する → 予期せぬ挫折感に襲われる → モチベーションが急降下し、学習が中断してしまう。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が学習の道を歩いていて、突然大きく予期しない壁に遭遇する。突然の障害に衝撃を受け、やる気を失っているように見える。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is walking along a learning path and suddenly encounters a large, unexpected wall. They look shocked and demotivated by the sudden obstacle. Simple line art, sketch-like quality."
16_advanced_stumbling-prediction-02-After,aiMethodDiagram,【超AI独学法】AIを「経験豊富な専属メンター」と定義 → 「これから学ぶ〇〇について、初心者がつまずきやすいポイントを3つ教えて」と質問 → AIが「この概念は△△と混同しやすいので注意」と未来の壁を予測 → 事前に対策を準備し、心の準備もしておく → 壁にぶつかっても「想定内」として冷静に突破 → 安心して学習を継続できる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIメンターが人物に学習の旅の地図を見せている。地図には将来の障害を示す警告標識がある。人物は準備ができているように見え、事前にその上に橋を建設している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI mentor is showing a person a map of their learning journey. The map has a warning sign marking a future obstacle. The person looks prepared and is building a bridge over it in advance. Simple line art, sketch-like quality."
15_beginner_backward-thinking-01-Before,traditionalMethodDiagram,【従来の独学法】「半年後に資格取得！」と目標設定 → 分厚い参考書を前に圧倒される → 「とにかく気合だ！」と闇雲に勉強を開始 → 日々の業務に忙殺され計画が形骸化 → 数ヶ月後には目標自体を忘れかける。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が巨大で霧がかった山の麓に立っており、大きな目標を表している。圧倒された表情で見上げている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is standing at the bottom of a huge, foggy mountain, representing a large goal. They look up with an overwhelmed expression. Simple line art, sketch-like quality."
15_beginner_backward-thinking-02-After,aiMethodDiagram,【超AI独学法】AIに「半年後にDXアドバイザー資格を取得したい」と目標を提示 → 状（学習可能時間、現在の知識レベル）をインプット → AIが最終目標から逆算し、月・週・日単位の具体的なタスクツリーを自動生成 → 「今日は参考書の5ページを読み、AIに要約させる」という実行可能な指示を得る → 着実にタスクをこなし、マイルストーンをクリアしていく。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIプロジェクトマネージャーが人物に、山頂から始まり現在まで逆向きに作業する明確な地図を見せており、全行程を小さな日々のステップに分解している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI project manager is showing a person a clear map that starts from the mountain's peak and works backward to the present day, breaking the entire journey into small, daily steps. Simple line art, sketch-like quality."
